Attribute,MAE,Model
Close Shot,0.12399894200467973,RF
Mid-Range Shot,0.8693238006956548,XGB_deep
Three-Point Shot,2.1423763493207346,XGB_deep
Free Throw,0.18472473495336297,GB
Shot IQ,0.548733583934841,RF
Offensive Consistency,2.94571619773348,XGB
Layup,3.2590661605352644,RF
Standing Dunk,4.599608020773352,XGB
Driving Dunk,3.701597299854437,RF
Post Hook,4.278756654018986,RF
Post Fade,3.4842340802622034,XGB
Post Control,4.219064607548809,XGB
Draw Foul,2.61545174754246,RF
Hands,1.1701033549396165,XGB_deep
Interior Defense,3.8090501547946403,XGB_deep
Perimeter Defense,2.5123957494849707,XGB
Steal,3.2892043054109976,RF
Block,3.452848177933749,RF
Help Defense IQ,0.35368734483032294,RF
Pass Perception,1.2699513450094362,RF
Defensive Consistency,3.179284256103029,XGB
Speed,1.9697512279069755,XGB_deep
Agility,2.752778256666804,XGB_deep
Strength,2.471529888782273,XGB
Vertical,1.127475370964871,XGB_deep
Stamina,0.0439688856510466,RF
Hustle,0.17682185762717145,RF
Overall Durability,0.5255111657294631,RF
Pass Accuracy,2.364880657594232,XGB_deep
Ball Handle,2.3497142257693695,RF
Speed with Ball,3.455212247719328,XGB
Pass IQ,2.6925786231538686,XGB
Pass Vision,4.826827390107973,GB
Offensive Rebound,2.364492889240158,XGB
Defensive Rebound,1.3885972365019978,RF
Intangibles,2.914504521959995,RF
