Badge,MAE
Ankle Assassin,0.20777406990528108
Bail Out,0.32636208534240724
Dimer,0.22640703916549682
Float Game,0.3452513039112091
Glove,0.34733437895774844
Handles For Days,0.19341654181480408
Immovable Enforcer,0.35112462639808656
Interceptor,0.289374977350235
Layup Mixmaster,0.3249050319194794
Mini Marksman,0.2107428252696991
On-Ball Menace,0.3461271166801453
Pick Dodger,0.3531059384346008
Versatile Visionary,0.3485249698162079
Challenger,0.5492125511169433
Deadeye,0.33103188276290896
Lightning Launch,0.261812162399292
Set Shot Specialist,0.635593855381012
Shifty Shooter,0.36798607707023623
Strong Handle,0.33236836791038515
Unpluckable,0.22513349652290343
Break Starter,0.3330935060977936
Limitless Range,0.327471649646759
Off-Ball Pest,0.41880216598510744
Brick Wall,0.3455156087875366
Boxout Beast,0.34304124116897583
Slippery Off-Ball,0.46589055061340334
Rise Up,0.2779036045074463
Aerial Wizard,0.46069706082344053
High-Flying Denier,0.39483996033668517
Paint Patroller,0.23423846960067748
Pogo Stick,0.5159416794776917
Post Lockdown,0.2888287603855133
Rebound Chaser,0.4184817850589752
Physical Finisher,0.35225275754928587
Posterizer,0.30988809466362
Post Fade Phenom,0.18799229562282563
Post-Up Poet,0.20417981147766112
Post Powerhouse,0.220303538441658
Hook Specialist,0.14232971966266633
Paint Prodigy,0.2673317402601242
